Price,Currency,Location,Bedrooms,Washrooms,Marla,Details
1.75 Lakh,PKR,"I-8, Islamabad",3,3,3,I-8 Beautiful Ground With Servant Separate Gate For Rent
1.25 Lakh,PKR,"DHA Phase 5, DHA Defence",2,3,2,Fully Furnished One Kanal Upper Portion Available For Rent In DHA Phase 5
32 Thousand,PKR,"Bahria Town - Ali Block, Bahria Town - Precinct 12",4,4,4,Affordable Living 125 Square Yards 4 Bedrooms Luxurious Private Construction Villa Is Available On Rent In Bahria Town Karachi
1.1 Lakh,PKR,"Defence View Phase 1, Defence View Society",3,4,3,Defence Royal Tower Brand New Apartment Available
35 Thousand,PKR,"DHA Phase 7 Extension, DHA Defence",2,2,2,Apartment Available
1.45 Lakh,PKR,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",4,10 Marla,4,10 Marla House For Rent Sollar Installed
90 Thousand,PKR,"Valencia Housing Society, Lahore",3,4,3,1 Kanal Upper Portion In Valencia Housing Society For Rent At Good Location
1.1 Lakh,PKR,"Abdalians Cooperative Housing Society, Lahore",3,3,3,Fully Furnished One Kanal Basement Portion Available For Rent In Abdalian Housing Society Lahore
46 Thousand,PKR,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3,3,3,"3 Bed DD Flat in Kings Cottages Gulistan-e-Jauhar Block 7, Karachi"
60 Thousand,PKR,"OPF Housing Scheme - Block B, OPF Housing Scheme",2,3,2,8 Marla lower portion available for rent( for ofc or bachelors)
1.65 Lakh,PKR,"Tariq Gardens, Lahore",5,6,5,10 Marla House Available For Rent
55 Thousand,PKR,"Bahria Town - Civic Centre, Bahria Town Phase 4",1,1,1,1 Bed Furnished Apartment For Rent
50 Lakh,PKR,"F-6, Islamabad",9,6,9,Full Furnished Aesthetic 9 BHK Mansion
70 Thousand,PKR,"Wapda Town, Lahore",3,3,3,10 Marla Upper Portion Available For Rent Near Ucp University Or University Of Lahore Or Shaukat Khanum Hospital Or Abdul Sattar Eidi Road M2
85 Thousand,PKR,"Valencia - Block E, Valencia Housing Society",2,3,2,One Kanal Lower Portion Available For Rent
80 Thousand,PKR,"Valencia - Block C, Valencia Housing Society",3,3,3,One Kanal Upper Portion For Rent
43 Thousand,PKR,"Bahria Town - Sector C, Bahria Town",1,1,1,One Bed Furnished Apartment Available For Rent In Sector C Bahria Town Lahore
2.9 Lakh,PKR,"Creek Vista, DHA Phase 8",4,4,4,Prime Location 3760 Square Feet Flat For Rent In Creek Vista Karachi In Only Rs. 290000
2.49 Lakh,PKR,"DHA Phase 6, DHA Defence",5,6,5,1 KANAL MODERN HOUSE FOR RENT IN DHA PHASE 6
3.5 Lakh,PKR,"Gulberg 3, Gulberg",5,6,5,1 kanal Prime location House Located at Gulberg 3  Available For Rent
1.7 Lakh,PKR,"Gulberg 3, Gulberg",3,3,3,3 Bedroom Luxury Semi Furnished Apartment Available For Rent Gulberg 250 Rent Only
5.5 Lakh,PKR,"The Centaurus, F-8",3,3,3,Fully Furnished Centaurus Apartment For Rent
1.3 Lakh,PKR,"Askari 11 - Sector D, Askari 11",3,4,3,10MARLA 3BEDROOM FLAT AVAILABLE FOR RENT IN ASKARI 11 SECTOR D LAHORE CANTT
1.15 Lakh,PKR,"Askari 11, Askari",3,4,3,10 MARLA 3 BED FLAT AVAILABLE FOR RENT WITH GAS IN ASKARI 11
2.4 Lakh,PKR,"DHA Defence Phase 2, DHA Defence",6,6,6,"""1 Kanal Brand New Designer House for Rent Prime Location in DHA phase2!"""
19.6 Lakh,PKR,"F-7, Islamabad",7,1 Kanal,7,Your Dream Fully Furnished 500 Square Yards House Is Available In F-7
90 Thousand,PKR,"DHA 9 Town, DHA Defence",3,4,3,5 Marla Ultra Modern Brand New House For Rent In DHA 9 Town Lahore
2.85 Lakh,PKR,"DHA Phase 7 - Block Y, DHA Phase 7",5,6,5,"NEAR MCDONALD High-End One Kanal Luxury Bungalow Available For Rent In DHA Phase 7 Block Y, Spacious Basement, Servant Quarters, And Prime Location Near Park"
1.1 Lakh,PKR,"Clifton - Block 4, Clifton",3,3,3,Apartment For Rent
1.15 Lakh,PKR,"Frere Town, Karachi",2,2,2,"*Penthouse For Rent* 2 Bedrooms TV Loung , Kitchen"
71 Thousand,PKR,"G-13/1, G-13",2,3,2,7 Marla Upper Portion For Rent In G-13/1 Islamabad
1.2 Lakh,PKR,"DHA Phase 4, DHA Defence",2,2,2,Dha Phase 4 Kanal Upper Portion Fully Furnished For Rent
2.05 Lakh,PKR,"G-14/4, G-14",4,4,4,4.4 Marla Fully Furnished Full House Available For Rent In G-14/4 Islamabad
80 Thousand,PKR,"Wapda Town Phase 1 - Block G2, Wapda Town Phase 1",3,3,3,5 Marla House Available For Rent
1.1 Lakh,PKR,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",2,10 Marla,2,10 Marla Furnished Lower Portion Available For Rent
52 Thousand,PKR,"Wapda Town Phase 2 - Block M, Wapda Town Phase 2",2,2,2,10 Marla upper portion available for rent
1.5 Lakh,PKR,"Wapda Town Phase 1, Wapda Town",3,3,3,22 Marla Lower portion available for silent ofc
72 Thousand,PKR,"Shadman, Lahore",1,1,1,Idol Furnished Apartment Male/ Female
1.4 Lakh,PKR,"Model Town, Lahore",3,5,3,One Kanal Lower Portion Available For Rent In Model Town Lahore
1.03 Lakh,PKR,"G-13, Islamabad",3,3,3,10 Marla Upper Portion For Rent In G-13 Islamabad
90 Thousand,PKR,"G-14/4, G-14",2,2,2,4.4 Marla Fully Furnished Ground Portion For Rent - Prime Location
45 Thousand,PKR,"Bahria Town - Nishtar Block, Bahria Town - Sector E",1,1,1,One Bed Fully Furnished Flat For Rent In Sector Nishter BlockBlock Bahria Town Lahore
4 Lakh,PKR,"Gulberg 3, Gulberg",6,6,6,One Kanal Commercial House For Rent Gulberg
7 Lakh,PKR,"Gulberg, Lahore",6,6,6,2 Kanal Commercial House Is Available For Rent
4 Lakh,PKR,"Gulberg 3, Gulberg",5,5,5,Brand New House Available For Rent
1.1 Lakh,PKR,"Bahria Town - Janiper Block, Bahria Town - Sector C",5,6,5,10 Marla Full House Available For Rent Juniper Block Bahria Town Lhr
1.1 Lakh,PKR,"Top City 1, Islamabad",5,6,5,10 Marla House In Top City 1 Best Option
3.25 Lakh,PKR,"DHA Phase 6, DHA Defence",5,6,5,1 Kanal Brand New Modern Bungalow Available For Rent In DHA Phase 6
3 Lakh,PKR,"DHA Phase 7, DHA Defence",5,6,5,1 Kanal Brand New Lavish Modern Design Bungalow For Rent Phase 7
40 Thousand,PKR,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3,3,3,200sq yd 3 Bedrooms Luxury Villa is Available FOR RENT. 8km from Entrance of BTK. 3 Bed DDL 1 Kitchen
1.5 Lakh,PKR,"Bukhari Commercial Area, DHA Phase 6",3,3,3,First Floor Three Bedrooms Apartment with Lift & Car Parking in Bukhari Commercial
14.95 Lakh,PKR,"DHA Phase 6, DHA Defence",7,7,7,2 Kanal full furnished Brand New Super Hot Located Bungalow Is Available For RENT In The Best Block Of DHA Lahore
2.7 Lakh,PKR,"DHA Phase 7 - Block R, DHA Phase 7",5,6,5,1 KANAL GLORIOUS & MAGNIFICENT HOUSE FOR RENT IN DHA PHASE 7 LAHORE
2.5 Lakh,PKR,"Askari 10 - Sector S, Askari 10",5,6,5,Brand New 5-Bedroom Brigadier House for Rent in Askari 10 Sector S (Prime Location)
2.5 Lakh,PKR,"F-11 Markaz, F-11",4,4,4,Spacious & Fully Furnished 4-Bed Apartment With Margalla View For Rent In F-11 Markaz
35 Thousand,PKR,"Pak Arab Housing Society Phase 1, Pak Arab Housing Society",3,3,3,Upper Portion For Rent
37 Thousand,PKR,"Pak Arab Housing Society Phase 1, Pak Arab Housing Society",3,2,3,5 Marla Upper Portion Available For Rent
2.15 Lakh,PKR,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,5,"10 Marla, Fully Furnished, Brand New House Available For Rent  just 2 Mnt Drive From the Main Gate!!"
65 Thousand,PKR,"G-14/4, G-14",2,2,2,5 Marla Upper Portion For Rent - Prime Location (Solar Installed)
1.1 Lakh,PKR,"G-13/3, G-13",3,3,3,10 Marla Brand New Upper Portion For Rent In G-13/3 Islamabad
55 Thousand,PKR,"G-13/1, G-13",2,2,2,4 Marla Like Brand New Upper Portion For Rent In G-13/1 Islamabad
1.2 Lakh,PKR,"G-14/4, G-14",3,3,3,14 Marla Upper Portion For Rent In G-14/4 Islamabad
2.4 Lakh,PKR,"G-13/4, G-13",6,7,6,10 Marla Brand New Full House For Rent In G-13/4 Islamabad
1.05 Lakh,PKR,"G-14/4, G-14",3,3,3,9 Marla Like Brand New Upper Portion For Rent In G-14/4 Islamabad
2.95 Lakh,PKR,"DHA Phase 4, DHA Defence",5,6,5,DHA Lahore 1 Kanal Owner Build Design House Fully Furnished With 100% Original Pics Available For Rent
2.9 Lakh,PKR,"DHA Phase 4, DHA Defence",6,6,6,DHA Phase 4 Kanal Full House Proper Double Unit For Rent
1.65 Lakh,PKR,"Falcon Complex New Malir, Malir",4,5,4,Find Your Ideal House In Karachi Under
12 Lakh,PKR,"MM Alam Road, Gulberg",6,6,6,2 Kanal Commercial Paid House For Rent On Mm Alam Road
5 Lakh,PKR,"Gulberg, Lahore",5,5,5,1 Kanal House Available For Rent In Gulberg
60 Thousand,PKR,"Bahria Town - Sector E, Bahria Town",1,1,1,Luxury One Bed Furnished Apartment Available For Rent In Sector E Bahria Town Lahore
1.48 Lakh,PKR,"Bahria Town - Jasmine Block, Bahria Town - Sector C",5,6,5,10 Marla House Available For Rent In Jasmine Block Bahria Town Lahore
2.4 Lakh,PKR,"F-6/1, F-6",2,1 Kanal,2,Looking For A Lower Portion In F-6/1 Islamabad
32 Lakh,PKR,"F-6, Islamabad",10,6,10,Luxury Rental House With BBQ Area & 15 Bedrooms In Prime F-6/4 Location
7.5 Lakh,PKR,"F-7, Islamabad",4,5,4,"Ideal 4-Bedroom House for Rent in F-7 Perfect for Embassies, Diplomats & International Organizations (UN, World Bank, IMF, ADB)"
9.5 Lakh,PKR,"F-7, Islamabad",3,4,3,"Secure Corner 3 Bedrooms House with Big Lawns in F-7/3 Perfect for Diplomats, UN & International Officials*"
44 Lakh,PKR,"E-7, Islamabad",8,6,8,E-7 Islamabad Ambassadorial-Grade House with Swimming Pool & Pine Tree Views Ideal for Embassies & Diplomats
2.85 Lakh,PKR,"DHA Phase 7 - Block S, DHA Phase 7",5,6,5,1 Kanal Modern Design Bungalow For Rent With Near To Park & And Fairways Commercial
22 Thousand,PKR,"Bahria Town - Precinct 31, Bahria Town Karachi",3,3,3,200Sq Yard West Open Villa Available For Rent
1.7 Lakh,PKR,"F-11, Islamabad",2,2,2,Luxury 2-Bedroom Apartment For Rent In F-11
2.7 Lakh,PKR,"DHA Phase 4, DHA Defence",5,6,5,Dha Phase 4 Kanal Full House For Rent facing park
2.1 Lakh,PKR,"DHA Phase 8, DHA Defence",3,4,3,500 Yard Ground Floor Tailed Flooring Portion For Rent In Phase 8 A Zone
65 Thousand,PKR,"Badar Commercial Area, DHA Phase 5",2,2,2,Fully Renovated Family Building Apartment For Rent
2.5 Lakh,PKR,"Bahria Town Rawalpindi, Rawalpindi",6,6,6,New House For Rent In Bahria Town Rawalpindi Islamabad
3.5 Lakh,PKR,"DHA Phase 6, DHA Defence",5,6,5,DHA phase 6 kanal full house for rent
1.1 Lakh,PKR,"Bahria Town - Safari Villas 3, Bahria Town Rawalpindi",3,3,3,Prime Location 12 Marla House For rent In Bahria Town Rawalpindi
80 Thousand,PKR,"DHA 9 Town, DHA Defence",3,4,3,Stunning 5 Marla Brand-New House For Rent In DHA Phase 9 Town!
1.1 Lakh,PKR,"DHA Phase 6, DHA Defence",3,3,3,1 Kanal Upper Portion For Rent In DHA Phase 6
4.5 Lakh,PKR,"DHA Phase 6, DHA Defence",5,6,5,Brand New 1 Kanal Furnished House For Rent In DHA Phase 6
1.35 Lakh,PKR,"G-14/4, G-14",3,3,3,40x80 14 Marla Upper Portion For Rent G-14/4
73 Thousand,PKR,"G-13, Islamabad",2,2,2,30x60 7 Marla Ground Portion For Rent G-13
3 Lakh,PKR,"DHA Phase 7, DHA Defence",5,6,5,Brand New 1 Kanal House for Rent in DHA Lahore Phase 7
7 Lakh,PKR,"F-6/4, F-6",5,5,5,This Is Your Chance To Buy House In F-6/4
1.5 Lakh,PKR,"Penta Square By DHA Lahore, DHA Phase 5",2,3,2,BRAND NEW 2 BED NON FURNISHED DUPLEX APARTMENT AVAILABLE FOR RENT
99 Thousand,PKR,"DHA Phase 5, DHA Defence",2,2,2,Fully Furnished Kanal House Basement 2 Bed Drawing Dinning Available For Rent
2.5 Lakh,PKR,"DHA Phase 4, DHA Defence",5,6,5,Fully Furnished One Kanal Prime Location Modern Keep and clean House for Rent
1 Lakh,PKR,"DC Colony, Gujranwala",3,2,3,1 Kanal Independence House For Rent
15 Lakh,PKR,"F-6, Islamabad",5,6,5,"Modern Diplomatic Residence 5 Bedrooms Brand New Fittings, F-6/2 Islamabad"
4.75 Lakh,PKR,"DHA Phase 6 - Block N, DHA Phase 6",5,6,5,DHA Phase 6 - Block N House For rent Sized 22 Marla
48 Thousand,PKR,"Bahria Town - Sector F, Bahria Town",1,1,1,One Bed Furnished Brand New Apartment For Rent In Sector F Bahria Town Lahore
11 Lakh,PKR,"F-7, Islamabad",6,6,6,F-7 Prime Location Margalla Facing Triple Storey House Available For Rent
1.5 Lakh,PKR,"Bahria Town - Sector E, Bahria Town",5,6,5,10 M House For Rent In Bahria Town Lahore
10.5 Lakh,PKR,"Shahra-e-Faisal, Karachi",10,6,10,Bungalow On Rent For Commercial Use.
16 Lakh,PKR,"PECHS Block 6, PECHS",10,6,10,Bungalow On Rent For Commercial Use.
2.25 Lakh,PKR,"Bahria Town Phase 4, Bahria Town Rawalpindi",5,6,5,Brand New Luxury House For Rent Bahria Town Rawalpindi Islamabad
2 Lakh,PKR,"DHA Phase 6, DHA Defence",3,4,3,500 Yards Upper Portion For Rent
1.25 Lakh,PKR,"DHA Phase 6, DHA Defence",3,3,3,DHA Phase 6 kanal Upper Portion separate gate for rent
75 Thousand,PKR,"North Nazimabad - Block H, North Nazimabad",3,3,3,Portion Available For Rent
1.2 Lakh,PKR,"MPCHS - Multi Gardens, B-17",4,6,4,Centrally Located House Available In MPCHS - Multi Gardens For Rent
80 Thousand,PKR,"DHA Phase 6, DHA Defence",3,4,3,Luxurious 5 Marla House for Rent in DHA Lahore Phase 6 Prime Location!
1.9 Lakh,PKR,"DHA Phase 5, DHA Defence",4,5,4,10 Marla Full House For Rent In DHA Phase 5 Luxury Living At Its Best
65 Thousand,PKR,"DHA Phase 8, DHA Defence",3,3,3,Upper Portion For Rent
2.25 Lakh,PKR,"DHA Phase 8 - Ex Park View, DHA Phase 8",4,5,4,10 Marla Fully Furnished House For Rent In DHA Phase 8 (Ex Park View) Prime Location!
3 Lakh,PKR,"DHA Phase 6, DHA Defence",5,6,5,1 Kanal Full House for Rent in DHA Phase 6 Luxury Living at Its Best!
28 Thousand,PKR,"Shadab Garden, Lahore",3,2,3,5 Marla Upper Portion Available For Rent
2 Lakh,PKR,"DHA Phase 7, DHA Defence",4,5,4,10 Marla Brand New Luxury House for Rent in DHA Phase 7 Prime Location!
22 Thousand,PKR,"Pak Arab Housing Society, Lahore",1,1,1,3 Marla Lower Portion Available For Rent
45 Thousand,PKR,"Bahria Town - Sector E, Bahria Town",1,1,1,Fully Furnished Apartment For Rent In Sector E Bahria Town Lahore
3 Lakh,PKR,"DHA Phase 7, DHA Defence",5,6,5,"1 Kanal Brand New Fully Furnished Lavish Modern Design Bungalow For Rent Phase 7 DHA Phase 7, DHA Defence, Lahore, Punjab"
4 Lakh,PKR,"Garden Town, Lahore",4,4,4,One Kanal Commercial House For Rent
65 Thousand,PKR,"Bahria Town - Block AA, Bahria Town - Sector D",3,4,3,05 Marla Full House Available For Rent AA Block Bahria Town Lahore
1.1 Lakh,PKR,"Bahria Town - Jasmine Block, Bahria Town - Sector C",5,6,5,10 Marla Full House Available For Rent Jasmine Block Bahria Town Lahore
70 Thousand,PKR,"Bahria Town - Rafi Block, Bahria Town - Sector E",3,4,3,5 Marla House For Rent In Bahria Town Lahore
1.75 Lakh,PKR,"Penta Square By DHA Lahore, DHA Phase 5",1,2,1,1 Bed Fully Furnished Apartment Available For Rent 2nd Floor Penta Square Dha Phase 5
1.1 Lakh,PKR,"Paragon City, Lahore",5,6,5,10 Marla House For Rent In Paragon City Lahore
7 Lakh,PKR,"Sukh Chayn Residence, F-10",4,5,4,Top Floor Modern Infrastructure 2 Sided Corner With View 4 Bedrooms Apartment For Rent In Sukh Chyn Residence F-10
1.75 Lakh,PKR,"Penta Square By DHA Lahore, DHA Phase 5",1,2,1,"DHA Lahore Fully Furnished Apartment For Rent In Penta Square DHA Phase 5, DHA Defence, Lahore, Punjab"
4.5 Lakh,PKR,"PECHS Block 6, PECHS",5,6,5,House On Rent For Commercial Use
2.4 Lakh,PKR,"DHA Phase 1, DHA Defence",5,6,5,Ideal Location Kanal House 1 Kanal Lawn Full House Is Available For Rent In Dha Phase 1
5 Lakh,PKR,"F-11, Islamabad",5,5,5,Affordable House Of 1 Kanal Is Available For rent
3.1 Lakh,PKR,"DHA Phase 5, DHA Defence",5,6,5,1 Kanal Brand New Lavish Modern Design Bungalow For Rent Phase 5
2.9 Lakh,PKR,"DHA Phase 7, DHA Defence",5,6,5,1 Kanal Brand New Lavish Modern Design Bungalow For Rent Phase 7
70 Thousand,PKR,"DHA 9 Town - Block A, DHA 9 Town",3,4,3,5 Marla House Available For Rent At Ideal Location
45 Thousand,PKR,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3,3,3,Iqbal Villas 152sq yd Close to Entrance of BTK 3Bed One Unit Villas FOR RENT
3.6 Lakh,PKR,"Navy Housing Scheme Zamzama, Zamzama",5,5,5,Nhs Zamzama 350 Yard Beautiful House For Rent
2.8 Lakh,PKR,"Navy Housing Scheme Karsaz, Karachi",5,6,5,Navy Housing Scheme Karsaz 350 Yard West Open 5 Beds New House For Rent
1.75 Lakh,PKR,"DHA Phase 4, DHA Defence",4,5,4,D H A Lahore 10 Marla House Mazher Munir Design With 100% Original Pics Available For Rent
46 Thousand,PKR,"Pak Arab Housing Society Phase 1, Pak Arab Housing Society",2,2,2,10 Marla 2nd Floor Available For Rent In Best Location
2.5 Lakh,PKR,"Navy Housing Scheme Karsaz, Karachi",5,6,5,NHS Karsaz 5 Bed Dd Prime Location Flat For Rent
35.5 Thousand,PKR,"Pak Arab Housing Society Phase 1, Pak Arab Housing Society",2,2,2,5 Marla Portion Available For Rent
1.5 Lakh,PKR,"I-8/4, I-8",3,3,3,i. 8.4 Ground floor for rent.
1.5 Lakh,PKR,"DHA Phase 1, DHA Defence",4,5,4,"Dha Phase 1,10 Marla Full House For Rent"
2 Lakh,PKR,"DHA Phase 6, DHA Defence",5,6,5,A House At Affordable Price Awaits You
1.1 Lakh,PKR,"Bahria Town - Block CC, Bahria Town - Sector D",5,5,5,10 Marla Brand New House For Rent In Bahria Town - Block CC Canal Road Lahore
